MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,OLATITUDE,OLONGITUDE,DESTINATION_AIRPORT,DLATITUDE,DLONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,Departure,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1,2,MQ,3225,JFK,40.63975,-73.77893,DCA,38.85208,-77.03772,1110,1136,11.6,1223,33,0,7,0,26,0,0
1,2,MQ,3621,JFK,40.63975,-73.77893,DCA,38.85208,-77.03772,2147,2233,22.55,2300,43,0,0,0,0,43,0
1,2,UA,1247,LGA,40.63975,-73.77893,DEN,39.85841,-104.667,645,654,6.9,924,16,0,16,0,0,0,0
1,2,WN,1759,LGA,40.63975,-73.77893,DEN,39.85841,-104.667,1655,1720,17.33333333,1945,43,0,18,0,12,13,0
1,2,DL,2594,LGA,40.63975,-73.77893,DEN,39.85841,-104.667,800,858,8.966666667,1045,53,0,0,0,53,0,0
1,2,AA,1111,LGA,40.63975,-73.77893,DFW,32.89595,-97.0372,730,721,7.35,1040,17,0,17,0,0,0,0
1,2,AA,65,JFK,40.63975,-73.77893,DFW,32.89595,-97.0372,1615,1734,17.56666667,1930,103,0,24,0,79,0,0
1,2,DL,731,LGA,40.63975,-73.77893,DTW,42.21206,-83.34884,600,627,6.45,759,17,0,0,0,17,0,0
1,2,DL,1231,LGA,40.63975,-73.77893,DTW,42.21206,-83.34884,1430,1501,15.01666667,1635,21,0,0,0,17,4,0
1,2,NK,197,LGA,40.63975,-73.77893,FLL,26.07258,-80.15275,1050,1118,11.3,1404,15,0,15,0,0,0,0
1,2,B6,201,JFK,40.63975,-73.77893,FLL,26.07258,-80.15275,1835,1854,18.9,2145,18,0,0,0,8,10,0
1,2,B6,1271,LGA,40.63975,-73.77893,FLL,26.07258,-80.15275,1940,2017,20.28333333,2247,42,0,5,0,9,28,0
1,2,MQ,3199,LGA,40.63975,-73.77893,GSO,36.09775,-79.9373,1505,1559,15.98333333,1648,53,0,0,0,24,29,0
1,2,HA,51,JFK,40.63975,-73.77893,HNL,21.31869,-157.92241,935,938,9.633333333,1550,39,0,0,0,39,0,0
1,2,UA,1522,LGA,40.63975,-73.77893,IAH,29.98047,-95.33972,729,726,7.433333333,1032,22,0,22,0,0,0,0
1,2,UA,1259,LGA,40.63975,-73.77893,IAH,29.98047,-95.33972,1656,1709,17.15,2013,51,0,51,0,0,0,0
1,2,MQ,3202,JFK,40.63975,-73.77893,IND,39.71733,-86.29438,1530,1524,15.4,1803,23,0,23,0,0,0,0
1,2,B6,611,JFK,40.63975,-73.77893,LAS,36.08036,-115.15233,2135,2149,21.81666667,23,34,0,20,0,1,13,0
1,2,VX,399,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,700,700,7,1025,21,0,0,0,0,0,21
1,2,AA,185,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,2045,2114,21.23333333,10,21,0,0,0,0,21,0
1,2,UA,441,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,600,559,5.983333333,927,24,0,24,0,0,0,0
1,2,DL,424,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,700,708,7.133333333,1040,28,0,20,0,8,0,0
1,2,UA,535,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,1730,1736,17.6,2046,28,0,22,0,6,0,0
1,2,DL,472,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,815,811,8.183333333,1150,30,0,30,0,0,0,0
1,2,VX,409,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,1130,1142,11.7,1445,34,0,0,0,12,0,22
1,2,DL,413,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,1830,1901,19.01666667,2200,34,0,3,0,30,1,0
1,2,AA,171,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,600,556,5.933333333,915,36,0,36,0,0,0,0
1,2,VX,407,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,920,948,9.8,1245,40,0,0,0,40,0,0
1,2,VX,413,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,1655,1727,17.45,2025,41,0,9,0,5,27,0
1,2,AA,9,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,700,715,7.25,1020,49,0,34,0,15,0,0
1,2,B6,623,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,2140,2248,22.8,56,62,0,0,0,62,0,0
1,2,VX,411,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,1300,1440,14.66666667,1619,108,0,8,0,27,73,0
1,2,DL,427,JFK,40.63975,-73.77893,LAX,33.94254,-118.40807,2100,2256,22.93333333,31,123,0,7,0,116,0,0
1,2,EV,4983,LGA,40.63975,-73.77893,LEX,38.03697,-84.60539,1910,1955,19.91666667,2132,16,0,0,0,0,16,0
1,2,MQ,3349,LGA,40.63975,-73.77893,LIT,34.7294,-92.22425,1820,1826,18.43333333,2003,35,0,29,0,3,3,0
1,2,B6,1183,JFK,40.63975,-73.77893,MCO,28.42889,-81.31603,2158,2203,22.05,46,22,0,17,0,5,0,0
